Filename	word	vowel	F1	F2	F3	Duration	Timepoint	VowelPercent	MeasType
33_back	Unlabeled	ei	386.10578682586214	1055.3591272935673	2362.753037594014	316	7	54.55	auto
33_back	Unlabeled	ei	382.21817397105445	1040.8034794203993	2261.7345517297927	316	8	63.64	auto
33_back	Unlabeled	ei	370.2009746671132	912.2949917925097	2391.530400587243	316	9	72.73	auto
33_back	Unlabeled	ei	342.8416594502509	767.6559751134336	2390.4797902649616	316	10	81.82	auto
33_back	Unlabeled	ei	327.2701189481716	696.7089740617298	2405.1049951383898	316	11	90.91	auto
33_back	Unlabeled	ei	269.00010455545385	861.0009526327367	2426.9928051493052	316	12	100.00	auto
34_feed	Unlabeled	uɛi	306.0994628645828	731.8599876858749	2039.0729586914156	494	1	0	auto
34_feed	Unlabeled	uɛi	308.63391096642783	776.1071137883298	2481.977603402433	494	2	9.09	auto
34_feed	Unlabeled	uɛi	423.57617046704837	994.9811214022183	2006.4006711413556	494	3	18.18	auto
34_feed	Unlabeled	uɛi	572.1218120325891	1000.0080839587437	1534.5713464909436	494	4	27.27	auto
34_feed	Unlabeled	uɛi	547.139158193545	1076.6402300195275	1967.9540149773404	494	5	36.36	auto
34_feed	Unlabeled	uɛi	430.38675087542146	1828.3809209304243	2307.562027537024	494	6	45.45	auto
34_feed	Unlabeled	uɛi	437.7878401644397	457.5536852738478	2314.931869719697	494	7	54.55	auto
34_feed	Unlabeled	uɛi	394.63026767952147	726.9283275561727	2143.727912213632	494	8	63.64	auto
34_feed	Unlabeled	uɛi	372.9737798546586	656.7807034474996	2361.5460093331726	494	9	72.73	auto
34_feed	Unlabeled	uɛi	329.21383345409254	691.1398990788523	2414.5546207525394	494	10	81.82	auto
34_feed	Unlabeled	uɛi	331.4726646225275	936.6673084915535	2344.6287732066066	494	11	90.91	auto
34_feed	Unlabeled	uɛi	178.98139719630524	1057.0070911102794	2431.9872602764267	494	12	100.00	auto
35_good	Unlabeled	au	506.81265355170575	1108.2767673311246	1436.250221038213	316	1	0	auto
35_good	Unlabeled	au	872.6153669175407	1212.6848792675007	1314.6648923768523	316	2	9.09	auto
35_good	Unlabeled	au	824.4480627351871	1299.7054930561021	1402.8274305871514	316	3	18.18	auto
35_good	Unlabeled	au	806.7135427104055	1228.7427287622315	1292.2915574312499	316	4	27.27	auto
35_good	Unlabeled	au	762.238291543224	1146.4451553827337	1997.6524334807307	316	5	36.36	auto
35_good	Unlabeled	au	726.5543472764059	1044.7333771617011	1764.4526010299758	316	6	45.45	auto
35_good	Unlabeled	au	654.3400576602551	926.1463121711993	1840.2316385143997	316	7	54.55	auto
35_good	Unlabeled	au	575.2811465411552	852.9516241944438	1787.900162502254	316	8	63.64	auto
35_good	Unlabeled	au	511.3730527544993	842.315970955826	2052.9425497573848	316	9	72.73	auto
35_good	Unlabeled	au	477.3269342890753	832.6535132831712	2140.5062721263557	316	10	81.82	auto
35_good	Unlabeled	au	410.3505186103709	827.9638243173546	2035.3484091736875	316	11	90.91	auto
35_good	Unlabeled	au	445.59026071102153	882.4135730661203	2116.439428969566	316	12	100.00	auto
36_clever	Unlabeled	iau	537.2916000844615	758.3589727201067	2036.7658355096619	248	1	0	auto
36_clever	Unlabeled	iau	646.6857406197937	917.8265679862886	1863.7187358257045	248	2	9.09	auto
36_clever	Unlabeled	iau	768.2008355073413	897.6613008092442	1734.3598422847886	248	3	18.18	auto
36_clever	Unlabeled	iau	800.9508993049407	1286.2764112894697	1607.6400918678787	248	4	27.27	auto
36_clever	Unlabeled	iau	821.7876955226396	1394.4406796037918	1461.3305573890304	248	5	36.36	auto
36_clever	Unlabeled	iau	804.964792536065	1278.6878407066085	1333.3509076016726	248	6	45.45	auto
36_clever	Unlabeled	iau	778.1722189216912	1208.3793383021173	1366.3296175813564	248	7	54.55	auto
36_clever	Unlabeled	iau	730.8846682096555	1125.33714826921	1613.5676866253345	248	8	63.64	auto
36_clever	Unlabeled	iau	680.4827258455069	1046.582766905193	1629.6868127186854	248	9	72.73	auto
36_clever	Unlabeled	iau	615.9515771999703	967.0618943209236	1349.6464571038705	248	10	81.82	auto
36_clever	Unlabeled	iau	541.7704493688298	900.7397267444686	1745.501762985283	248	11	90.91	auto
36_clever	Unlabeled	iau	479.65270083825084	730.0302777188089	1027.4534793126115	248	12	100.00	auto
37_after	Unlabeled	əu	597.9998108589549	1041.1830079500921	1708.331203479383	429	1	0	auto
37_after	Unlabeled	əu	552.6721400149247	1206.2056710574677	1401.890602494951	429	2	9.09	auto
37_after	Unlabeled	əu	526.3443897078207	1174.1978876996325	1361.5840006058424	429	3	18.18	auto
37_after	Unlabeled	əu	503.69926230422215	1088.2337575904942	1340.1758482367695	429	4	27.27	auto
37_after	Unlabeled	əu	469.8138875552617	1022.9046893050034	1437.9211564035886	429	5	36.36	auto
37_after	Unlabeled	əu	441.97287020825513	974.8210366679127	1454.5382445009018	429	6	45.45	auto
37_after	Unlabeled	əu	415.4222239371418	919.9843477575197	1292.84117908135	429	7	54.55	auto
37_after	Unlabeled	əu	406.46099664066804	860.6117171816591	1233.0111218623908	429	8	63.64	auto
37_after	Unlabeled	əu	400.713844839	847.0396564280688	1322.4669444573315	429	9	72.73	auto
37_after	Unlabeled	əu	370.32521462233166	797.5765838205824	1505.827409592929	429	10	81.82	auto
37_after	Unlabeled	əu	360.57298436688376	805.3103530113352	1683.0174314420403	429	11	90.91	auto
37_after	Unlabeled	əu	406.86673033928184	836.9084570030408	2022.5099805091363	429	12	100.00	auto
38_shy	Unlabeled	iəu	289.79971341610303	1060.229076961814	2108.355504124713	262	1	0	auto
38_shy	Unlabeled	iəu	327.42937283073906	2068.7755375072516	2558.133350700301	262	2	9.09	auto
38_shy	Unlabeled	iəu	376.16658678954497	1709.7512424852775	2250.9140968768993	262	3	18.18	auto
38_shy	Unlabeled	iəu	377.7276283617907	1343.6282036086288	1627.3182778396665	262	4	27.27	auto
38_shy	Unlabeled	iəu	376.19927054501125	1349.206525519024	1468.9348334982699	262	5	36.36	auto
38_shy	Unlabeled	iəu	370.6084234079052	1165.8863056672978	1652.03789659716	262	6	45.45	auto
38_shy	Unlabeled	iəu	371.46577437411025	1053.5363455637219	1933.3083484421375	262	7	54.55	auto
38_shy	Unlabeled	iəu	369.7404650253373	962.2354727428777	2258.6853679735673	262	8	63.64	auto
38_shy	Unlabeled	iəu	342.8281986437233	891.7191043599806	2102.9032452536812	262	9	72.73	auto
38_shy	Unlabeled	iəu	304.75234797423144	840.6463956746263	1886.6955373900412	262	10	81.82	auto
38_shy	Unlabeled	iəu	292.67251575166205	777.7555742091989	2005.7784840645095	262	11	90.91	auto
38_shy	Unlabeled	iəu	292.39153993441215	841.9834358762349	1856.1010710464006	262	12	100.00	auto
39_carry	Unlabeled	an	134.9332995318796	772.9658991201993	1727.32134118494	247	1	0	auto
39_carry	Unlabeled	an	818.4922917631851	841.1738399004523	1641.4204759825018	247	2	9.09	auto
39_carry	Unlabeled	an	863.7144873636664	917.3902367337812	1594.5217896655365	247	3	18.18	auto
39_carry	Unlabeled	an	827.5381561360323	1032.7558736311132	1586.4566831173117	247	4	27.27	auto
39_carry	Unlabeled	an	849.2268599095108	1250.565779898056	1593.7130712067162	247	5	36.36	auto
39_carry	Unlabeled	an	836.9778913794829	1318.0762975335524	1639.4700972685862	247	6	45.45	auto
39_carry	Unlabeled	an	845.0576941222018	1547.509811458604	1689.4371358717422	247	7	54.55	auto
39_carry	Unlabeled	an	770.1247419515306	849.4165984174333	1684.1955622009134	247	8	63.64	auto
39_carry	Unlabeled	an	456.20778037834157	800.0404491044502	1764.4637512744207	247	9	72.73	auto
39_carry	Unlabeled	an	638.44435820467	757.1683901772498	1825.6933111494495	247	10	81.82	auto
39_carry	Unlabeled	an	580.815055330101	666.7593967803754	1839.394049950421	247	11	90.91	auto
39_carry	Unlabeled	an	319.91266984242566	770.5084210642385	1741.9314345515006	247	12	100.00	auto
40_words	Unlabeled	iɛn	248.13675960025583	2098.793595418821	2420.2693284663465	299	1	0	auto
40_words	Unlabeled	iɛn	286.0394816146262	678.5832346614163	2333.3295687102473	299	2	9.09	auto
40_words	Unlabeled	iɛn	302.52671082805443	787.5883855582218	2135.112600206138	299	3	18.18	auto
40_words	Unlabeled	iɛn	343.3303044853913	1137.6193426950726	2185.59473444952	299	4	27.27	auto
40_words	Unlabeled	iɛn	376.39252776218456	954.2977076907137	2243.538497542083	299	5	36.36	auto
40_words	Unlabeled	iɛn	453.485163314469	771.1026606439328	2175.900914680925	299	6	45.45	auto
40_words	Unlabeled	iɛn	488.3561113297125	934.6290267991357	2129.6158588063586	299	7	54.55	auto
40_words	Unlabeled	iɛn	561.0260861539214	646.7790471099703	2064.036821618207	299	8	63.64	auto
40_words	Unlabeled	iɛn	595.0885045173378	779.5072649161975	2012.021156726776	299	9	72.73	auto
40_words	Unlabeled	iɛn	619.2430404556525	667.0748718445003	2022.7289843002134	299	10	81.82	auto
40_words	Unlabeled	iɛn	539.4569287026131	701.2802802545657	1988.1820942857166	299	11	90.91	auto
40_words	Unlabeled	iɛn	459.8825562229813	1267.3525223038282	1989.5346644050571	299	12	100.00	auto
41_sun	Unlabeled	iaŋ	225.5788514938019	545.0537433143487	2029.3824744529682	238	1	0	auto
41_sun	Unlabeled	iaŋ	292.7646756549553	544.2029176743422	2406.5913181205415	238	2	9.09	auto
41_sun	Unlabeled	iaŋ	335.7345174783273	1869.5863970716637	2334.9131634685787	238	3	18.18	auto
41_sun	Unlabeled	iaŋ	370.8882235446441	714.8185572798408	2141.8743262068483	238	4	27.27	auto
41_sun	Unlabeled	iaŋ	454.0750249484619	527.6201454981237	2214.3528611012825	238	5	36.36	auto
41_sun	Unlabeled	iaŋ	398.58435495958673	604.4194912940187	1986.0468630226483	238	6	45.45	auto
41_sun	Unlabeled	iaŋ	423.61592477524346	710.0116964678483	1813.29187732082	238	7	54.55	auto
41_sun	Unlabeled	iaŋ	518.7169906287726	818.8352244068185	1674.6609335549103	238	8	63.64	auto
41_sun	Unlabeled	iaŋ	403.6827570733887	799.6078981651564	1538.4183556703715	238	9	72.73	auto
41_sun	Unlabeled	iaŋ	734.2910915550606	1222.4881145275917	1412.860800691811	238	10	81.82	auto
41_sun	Unlabeled	iaŋ	745.2189574897484	1240.9199157101425	1904.233663152709	238	11	90.91	auto
41_sun	Unlabeled	iaŋ	578.3949008130171	1204.180600214686	2178.509937284484	238	12	100.00	auto
42_ten-thousand	Unlabeled	uan	356.6125017453558	820.07384862397	1979.1361389081762	336	1	0	auto
42_ten-thousand	Unlabeled	uan	358.77245577535825	796.9554043809277	1742.4004471146488	336	2	9.09	auto
42_ten-thousand	Unlabeled	uan	504.2731832732638	848.5163420666698	1230.3949413803546	336	3	18.18	auto
42_ten-thousand	Unlabeled	uan	677.6196753544107	1009.7731407798282	1432.8745320666198	336	4	27.27	auto
42_ten-thousand	Unlabeled	uan	795.7906235643192	1148.0796310073188	1837.07400936724	336	5	36.36	auto
42_ten-thousand	Unlabeled	uan	847.2828649486618	1217.7111132055375	1756.165314873687	336	6	45.45	auto
42_ten-thousand	Unlabeled	uan	867.9659311711808	1572.1288952326515	1776.4962483363552	336	7	54.55	auto
42_ten-thousand	Unlabeled	uan	830.6425683306626	1210.545735176126	1628.154197253235	336	8	63.64	auto
42_ten-thousand	Unlabeled	uan	834.2380592313439	1020.555956922494	1670.7110708575467	336	9	72.73	auto
42_ten-thousand	Unlabeled	uan	795.8477084417993	1663.849162229785	1751.0709053502476	336	10	81.82	auto
42_ten-thousand	Unlabeled	uan	694.7936991848007	759.0970257340987	1784.2523706502845	336	11	90.91	auto
42_ten-thousand	Unlabeled	uan	485.382067484995	1003.2448289428639	1650.6463884704046	336	12	100.00	auto
43_round	Unlabeled	yan	179.1346098518544	398.5256895915685	2162.5619614023694	306	1	0	auto
43_round	Unlabeled	yan	288.536615556883	2088.9326748454637	2354.092338012077	306	2	9.09	auto
43_round	Unlabeled	yan	306.28962323503134	1939.469153713229	2404.2638773503345	306	3	18.18	auto
43_round	Unlabeled	yan	313.3307481607722	1880.2307497101674	2354.3674481291605	306	4	27.27	auto
43_round	Unlabeled	yan	350.72193615607216	1251.3294691334554	1900.674562728851	306	5	36.36	auto
43_round	Unlabeled	yan	403.44121904955296	1547.3600755716634	1975.1097105471235	306	6	45.45	auto
43_round	Unlabeled	yan	477.5261823214171	1074.660960455997	1974.0045798559809	306	7	54.55	auto
43_round	Unlabeled	yan	513.6458831466849	992.4289811696771	1998.3888926913307	306	8	63.64	auto
43_round	Unlabeled	yan	576.8000105198307	933.1965493250334	2006.2173781071426	306	9	72.73	auto
43_round	Unlabeled	yan	597.3197209930557	785.9902363954161	2001.0271604218747	306	10	81.82	auto
43_round	Unlabeled	yan	569.5173831595797	620.2740480903614	1866.2021005383085	306	11	90.91	auto
43_round	Unlabeled	yan	352.40389601946	549.5677696695809	1884.8010915500217	306	12	100.00	auto
44_warm	Unlabeled	uen	330.72589903960693	602.8418087985818	1649.5006622378864	404	1	0	auto
44_warm	Unlabeled	uen	335.1435870052647	761.970843129215	1797.9856584802164	404	2	9.09	auto
44_warm	Unlabeled	uen	391.3560652415656	949.9775364536047	1384.58332597181	404	3	18.18	auto
44_warm	Unlabeled	uen	520.3656126754676	1098.3625784988294	1363.650048722704	404	4	27.27	auto
44_warm	Unlabeled	uen	552.3306429728273	1315.4476205450803	1637.5632077451066	404	5	36.36	auto
44_warm	Unlabeled	uen	466.9248555869326	777.804223752271	1715.710220916105	404	6	45.45	auto
44_warm	Unlabeled	uen	341.27339152613877	977.483271803105	1732.927585293449	404	7	54.55	auto
44_warm	Unlabeled	uen	337.17514015471033	1178.743270690704	1776.7016114481291	404	8	63.64	auto
44_warm	Unlabeled	uen	361.5186233703702	1263.6640348747596	1803.481102072447	404	9	72.73	auto
44_warm	Unlabeled	uen	356.4283356359986	1274.2490466546121	1887.0664180178144	404	10	81.82	auto
44_warm	Unlabeled	uen	333.42482703673727	1227.5494806536174	1873.2245569461118	404	11	90.91	auto
44_warm	Unlabeled	uen	322.7015278210562	1238.0731431287086	1941.6237339804284	404	12	100.00	auto
45_appearance	Unlabeled	ioŋ	248.9507726113713	1333.6690377418772	2268.769210305355	472	1	0	auto
45_appearance	Unlabeled	ioŋ	249.5086016712102	495.4802241259605	2249.9459478474027	472	2	9.09	auto
45_appearance	Unlabeled	ioŋ	322.4225988232428	2143.2105213706604	2503.5462220416125	472	3	18.18	auto
45_appearance	Unlabeled	ioŋ	373.7626842888392	863.7592400461044	1624.0513773208243	472	4	27.27	auto
45_appearance	Unlabeled	ioŋ	441.5816939542626	884.0928340700929	1069.2880312308498	472	5	36.36	auto
45_appearance	Unlabeled	ioŋ	484.0067651271482	775.0673543626735	1504.4127666131724	472	6	45.45	auto
45_appearance	Unlabeled	ioŋ	546.4029044678404	1020.7589906752133	2234.8014721180507	472	7	54.55	auto
45_appearance	Unlabeled	ioŋ	559.842627549178	1176.8444722765532	2226.524870475558	472	8	63.64	auto
45_appearance	Unlabeled	ioŋ	189.99152425555823	498.1149146716259	1219.4101532556447	472	9	72.73	auto
45_appearance	Unlabeled	ioŋ	343.4925702706531	1067.3767141211226	2005.3485039153798	472	10	81.82	auto
45_appearance	Unlabeled	ioŋ	260.3054449843475	541.9489028762331	1327.4152128964536	472	11	90.91	auto
45_appearance	Unlabeled	ioŋ	189.61709032263735	922.2641726587746	1590.2923028245607	472	12	100.00	auto
46_king	Unlabeled	uaŋ	299.61395364237546	795.5788570471481	1904.0464695627652	352	1	0	auto
46_king	Unlabeled	uaŋ	320.4068704930573	804.8030359282089	1957.5369824189743	352	2	9.09	auto
46_king	Unlabeled	uaŋ	408.7527968696426	833.6505912244547	2356.48747419131	352	3	18.18	auto
46_king	Unlabeled	uaŋ	555.9257938022386	881.5284063632668	1360.2956985869341	352	4	27.27	auto
46_king	Unlabeled	uaŋ	647.7032005363751	828.7822899316196	1009.6533335002961	352	5	36.36	auto
46_king	Unlabeled	uaŋ	515.6421288166383	767.9590331189594	1047.688146691771	352	6	45.45	auto
46_king	Unlabeled	uaŋ	587.1443075496809	927.912239689832	1212.4587810476207	352	7	54.55	auto
46_king	Unlabeled	uaŋ	604.1743334766286	1076.128988175827	2135.5203703425523	352	8	63.64	auto
46_king	Unlabeled	uaŋ	392.9080378570136	573.6862532193604	1339.4254369371674	352	9	72.73	auto
46_king	Unlabeled	uaŋ	326.5968486138166	658.3465630795727	1149.1735872854829	352	10	81.82	auto
46_king	Unlabeled	uaŋ	266.5180387154851	661.6915919607846	1192.859370952127	352	11	90.91	auto
46_king	Unlabeled	uaŋ	192.4180080277492	1067.775796228937	1417.67047119701	352	12	100.00	auto
50_more	Unlabeled	ən	447.01629735697617	1536.9837599216505	1804.574491920761	509	1	0	auto
50_more	Unlabeled	ən	566.6957269635376	956.4595342177189	1445.8779985457086	509	2	9.09	auto
50_more	Unlabeled	ən	537.6141732262895	785.7062291464682	1576.8832989677696	509	3	18.18	auto
50_more	Unlabeled	ən	515.0209389197739	1455.792357285391	1606.5948471688432	509	4	27.27	auto
50_more	Unlabeled	ən	417.896039095951	716.5087545203551	1646.6167419393666	509	5	36.36	auto
50_more	Unlabeled	ən	486.3365460196842	1710.4693791538066	2201.0747225713194	509	6	45.45	auto
50_more	Unlabeled	ən	283.29470692005617	1039.8650262090014	1767.8537649838206	509	7	54.55	auto
50_more	Unlabeled	ən	262.3405095214646	657.2674367163052	1522.733215489718	509	8	63.64	auto
50_more	Unlabeled	ən	275.512748434751	1287.7685361722406	2168.086730230042	509	9	72.73	auto
50_more	Unlabeled	ən	210.36188161201198	1376.3961394165701	2379.3441907633887	509	10	81.82	auto
50_more	Unlabeled	ən	153.83154837969585	711.67454016817	1480.723628778269	509	11	90.91	auto
